date,FrontMonth,SecondMonth,ThirteenthMonth,FourteenthMonth
2023-03-21,69.67,69.77,67.09,66.9
2023-03-22,70.9,71.02,67.86,67.61
2023-03-23,69.96,70.12,67.42,67.18
2023-03-24,69.26,69.41,66.96,66.77
2023-03-27,72.81,72.93,69.8,69.53
2023-03-28,73.2,73.34,70.08,69.81
2023-03-29,72.97,73.12,69.73,69.44
2023-03-30,74.37,74.49,70.62,70.33
2023-03-31,75.67,75.8,71.56,71.23
2023-04-03,80.42,80.44,74.12,73.67
2023-04-04,80.71,80.72,74.16,73.69
2023-04-05,80.61,80.63,74.13,73.68
2023-04-06,80.7,80.68,73.95,73.48
2023-04-10,79.74,79.77,73.49,73.07
2023-04-11,81.53,81.49,74.76,74.29
2023-04-12,83.26,83.09,75.97,75.48
2023-04-13,82.16,82.04,75.56,75.11
2023-04-14,82.52,82.43,75.85,75.39
2023-04-17,80.83,80.83,74.89,74.47
2023-04-18,80.86,80.9,75.06,74.64
2023-04-19,79.16,79.24,73.69,73.3
2023-04-20,77.29,77.37,72.24,71.88
2023-04-21,77.87,77.71,72.85,72.49
2023-04-24,78.76,78.6,73.67,73.29
2023-04-25,77.07,76.87,71.76,71.41
2023-04-26,74.3,74.19,70.05,69.77
2023-04-27,74.76,74.58,70.16,69.85
2023-04-28,76.78,76.61,71.86,71.54
2023-05-01,75.66,75.51,70.85,70.52
2023-05-02,71.66,71.55,67.89,67.65
2023-05-03,68.6,68.55,65.84,65.64
2023-05-04,68.56,68.51,65.4,65.17
2023-05-05,71.34,71.27,67.6,67.33
2023-05-08,73.16,73.07,69.09,68.79
2023-05-09,73.71,73.62,69.75,69.45
2023-05-10,72.56,72.52,69.05,68.78
2023-05-11,70.87,70.88,67.56,67.31
2023-05-12,70.04,70.02,66.75,66.51
2023-05-15,71.11,71.09,67.74,67.48
2023-05-16,70.86,70.84,67.55,67.3
2023-05-17,72.83,72.89,69.45,69.15
2023-05-18,71.86,71.94,68.88,68.62
2023-05-19,71.55,71.69,68.24,67.94
2023-05-22,71.99,72.05,68.48,68.17
2023-05-23,72.91,72.85,68.93,68.61
2023-05-24,74.34,74.29,70.14,69.81
2023-05-25,71.83,71.93,68.27,67.97
2023-05-26,72.67,72.76,69.05,68.74
2023-05-29,72.67,72.76,69.05,68.74
2023-05-30,69.46,69.6,66.68,66.42
2023-05-31,68.09,68.24,65.52,65.28
2023-06-01,70.1,70.2,67.11,66.84
2023-06-02,71.74,71.84,68.38,68.08
2023-06-05,72.15,72.26,68.46,68.14
2023-06-06,71.74,71.85,68.12,67.79
2023-06-07,72.53,72.64,68.84,68.51
2023-06-08,71.29,71.44,67.85,67.51
2023-06-09,70.17,70.33,67.21,66.9
2023-06-12,67.12,67.29,65.05,64.81
2023-06-13,69.42,69.58,67.1,66.84
2023-06-14,68.27,68.46,66.23,65.98
2023-06-15,70.62,70.81,68.29,68.0
2023-06-16,71.78,71.93,69.16,68.86
2023-06-19,71.78,71.93,69.16,68.86
2023-06-20,70.5,71.19,68.5,68.22
2023-06-21,72.53,72.52,69.34,69.04
2023-06-22,69.51,69.63,67.33,67.08
2023-06-23,69.16,69.32,67.14,66.87
2023-06-26,69.37,69.54,67.45,67.18
2023-06-27,67.7,67.9,66.71,66.49
2023-06-28,69.56,69.73,67.96,67.7
2023-06-29,69.86,70.02,68.05,67.77
