date,FrontMonth,SecondMonth,ThirteenthMonth,FourteenthMonth
2022-11-28,77.24,77.33,74.39,74.02
2022-11-29,78.2,78.28,75.22,74.83
2022-11-30,80.55,80.66,77.46,77.01
2022-12-01,81.22,81.14,77.42,76.98
2022-12-02,79.98,80.05,77.46,77.07
2022-12-05,76.93,77.08,75.63,75.29
2022-12-06,74.25,74.46,73.37,73.07
2022-12-07,72.01,72.28,71.7,71.41
2022-12-08,71.46,71.58,71.1,70.85
2022-12-09,71.02,71.21,71.11,70.9
2022-12-12,73.17,73.28,72.53,72.27
2022-12-13,75.39,75.44,73.67,73.32
2022-12-14,77.28,77.31,74.65,74.25
2022-12-15,76.11,76.15,73.13,72.72
2022-12-16,74.29,74.46,72.08,71.71
2022-12-19,75.19,75.38,72.63,72.26
2022-12-20,76.09,76.23,73.3,72.93
2022-12-21,78.29,78.24,73.94,73.5
2022-12-22,77.49,77.42,73.18,72.75
2022-12-23,79.56,79.64,75.46,74.99
2022-12-27,79.53,79.64,75.69,75.22
2022-12-28,78.96,79.08,75.48,75.05
2022-12-29,78.4,78.5,74.68,74.25
2022-12-30,80.26,80.45,76.3,75.84
2023-01-03,76.93,77.12,74.1,73.67
2023-01-04,72.84,73.1,71.66,71.36
2023-01-05,73.67,73.92,72.27,71.95
2023-01-06,73.77,74.04,72.48,72.17
2023-01-09,74.63,74.92,73.5,73.19
2023-01-10,75.12,75.37,73.56,73.21
2023-01-11,77.41,77.68,75.29,74.9
2023-01-12,78.39,78.65,75.87,75.45
2023-01-13,79.86,80.11,76.83,76.35
2023-01-16,79.86,80.11,76.83,76.35
2023-01-17,80.18,80.45,76.45,75.91
2023-01-18,79.48,79.8,76.25,75.74
2023-01-19,80.33,80.61,77.08,76.54
2023-01-20,81.31,81.64,77.82,77.27
2023-01-23,81.62,81.93,77.92,77.45
2023-01-24,80.13,80.44,76.58,76.11
2023-01-25,80.15,80.44,76.31,75.84
2023-01-26,81.01,81.28,76.66,76.16
2023-01-27,79.68,79.96,75.42,74.94
2023-01-30,77.9,78.18,74.1,73.68
2023-01-31,78.87,79.17,75.19,74.77
2023-02-01,76.41,76.73,73.24,72.88
2023-02-02,75.88,76.2,73.09,72.74
2023-02-03,73.39,73.74,70.96,70.63
2023-02-06,74.46,74.8,71.61,73.42
2023-02-07,77.59,77.81,73.63,73.42
2023-02-08,78.48,78.72,74.61,73.78
2023-02-09,77.66,77.87,74.21,73.78
2023-02-10,79.72,79.92,75.51,75.05
2023-02-13,80.14,80.33,76.05,75.58
2023-02-14,79.06,79.24,75.56,75.15
2023-02-15,78.59,78.83,75.29,74.9
2023-02-16,78.49,78.74,75.15,74.77
2023-02-17,76.34,76.55,73.37,73.03
2023-02-20,76.34,76.55,73.37,73.03
2023-02-21,76.16,76.36,73.34,73.02
2023-02-22,73.95,74.19,71.52,71.26
2023-02-23,75.39,75.6,72.57,72.28
2023-02-24,76.32,76.47,72.96,72.64
2023-02-27,75.68,75.81,72.11,71.78
2023-02-28,77.05,77.19,72.82,72.44
2023-03-01,77.69,77.83,73.43,73.04
2023-03-02,78.16,78.31,74.1,73.72
2023-03-03,79.68,79.79,75.42,75.02
2023-03-06,80.46,80.56,75.94,75.52
2023-03-07,77.58,77.72,73.67,73.28
2023-03-08,76.66,76.81,72.9,72.54
2023-03-09,75.72,75.84,72.07,71.73
2023-03-10,76.68,76.78,72.81,72.44
2023-03-13,74.8,74.91,71.37,71.05
2023-03-14,71.33,71.49,68.82,68.58
2023-03-15,67.61,67.74,65.77,65.6
2023-03-16,68.35,68.52,66.58,66.4
2023-03-17,66.74,66.93,65.57,65.44
2023-03-20,67.64,67.82,66.24,66.1
2023-03-21,69.33,69.67,67.28,67.09
2023-03-22,70.9,71.02,67.86,67.61
2023-03-23,69.96,70.12,67.42,67.18
2023-03-24,69.26,69.41,66.96,66.77
2023-03-27,72.81,72.93,69.8,69.53
2023-03-28,73.2,73.34,70.08,69.81
2023-03-29,72.97,73.12,69.73,69.44
2023-03-30,74.37,74.49,70.62,70.33
2023-03-31,75.67,75.8,71.56,71.23
2023-04-03,80.42,80.44,74.12,73.67
2023-04-04,80.71,80.72,74.16,73.69
2023-04-05,80.61,80.63,74.13,73.68
2023-04-06,80.7,80.68,73.95,73.48
2023-04-10,79.74,79.77,73.49,73.07
2023-04-11,81.53,81.49,74.76,74.29
2023-04-12,83.26,83.09,75.97,75.48
2023-04-13,82.16,82.04,75.56,75.11
2023-04-14,82.52,82.43,75.85,75.39
2023-04-17,80.83,80.83,74.89,74.47
2023-04-18,80.86,80.9,75.06,74.64
2023-04-19,79.16,79.24,73.69,73.3
2023-04-20,77.29,77.37,72.24,71.88
2023-04-21,77.87,77.71,72.85,72.49
2023-04-24,78.76,78.6,73.67,73.29
2023-04-25,77.07,76.87,71.76,71.41
2023-04-26,74.3,74.19,70.05,69.77
2023-04-27,74.76,74.58,70.16,69.85
2023-04-28,76.78,76.61,71.86,71.54
2023-05-01,75.66,75.51,70.85,70.52
2023-05-02,71.66,71.55,67.89,67.65
2023-05-03,68.6,68.55,65.84,65.64
2023-05-04,68.56,68.51,65.4,65.17
2023-05-05,71.34,71.27,67.6,67.33
2023-05-08,73.16,73.07,69.09,68.79
